"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"94",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","hh_size",5
"95",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","rooms_in_hh",1
"96",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","density",5
"97",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","daily_dw_cost_pp",2.66666666666667
"98",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","storage",0
"99",11,"abuja","block_unit","female","rented","self","no","na","packaged","convenience","commercial_tap","money","mid_range","commercial_tap","na","pay_to_fetch","2","2","skipped_bathing","last_7_days","days_struggle",0
"100",12,"abuja","block_unit","female","owned","self","yes","food","commercial_tap","affordability;cleanliness","packaged","convenience","none","commercial_tap","na","pay_to_fetch","34","17","skipped_cooking;skipped_laundry","last_3_days","years_in_community",30
"101",12,"abuja","block_unit","female","owned","self","yes","food","commercial_tap","affordability;cleanliness","packaged","convenience","none","commercial_tap","na","pay_to_fetch","34","17","skipped_cooking;skipped_laundry","last_3_days","adult_count",2
"102",12,"abuja","block_unit","female","owned","self","yes","food","commercial_tap","affordability;cleanliness","packaged","convenience","none","commercial_tap","na","pay_to_fetch","34","17","skipped_cooking;skipped_laundry","last_3_days","child_count",4
"103",12,"abuja","block_unit","female","owned","self","yes","food","commercial_tap","affordability;cleanliness","packaged","convenience","none","commercial_tap","na","pay_to_fetch","34","17","skipped_cooking;skipped_laundry","last_3_days","hh_size",6
